"label","target","source"
"12 opowieści żydowskich","Anka Grupińska","Mirosław Bałka"
"12 opowieści żydowskich","Anka Grupińska","Roman Gren"
"13 pięter","Filip Springer","Grzegorz Sroczyński, „Gazeta Wyborcza”"
"14:57 do Czyty","Igor T. Miecik","Andrzej Brzeziecki"
"20. 20 lat nowej Polski w reportażach","Pomysł, układ i komentarz Mariusz Szczygieł","Mariusz Szczygieł"
"438 dni","Johan Persson","Bartek Sabela"
"438 dni","Martin Schibbye","Bartek Sabela"
"5/25","Bogusław Politowski","Michał Żakowski"
"81:1","Maciej Wasielewski","Mariusz Szczygieł"
"81:1","Marcin Michalski","Mariusz Szczygieł"
"...będzie gorzej","Jan Pelc","Piotr Kępiński"
"...będzie gorzej","Jan Pelc","Mariusz Surosz"
"Abchazja","Wojciech Górecki","prof. dr hab. Adam Daniel Rotfeld"
"Abchazja","Wojciech Górecki","Piotr Górecki"
"Abchazja","Wojciech Górecki","Marcin Meller"
"Abchazja","Wojciech Górecki","Edward Lucas, „The Economist”"
"Ach, te Czeszki!","Mariusz Surosz","Mariusz Surosz"
"Afronauci","Bartek Sabela","Błażej Popławski"
"Afrykańska odyseja","Klaus Brinkbäumer","Adam Leszczyński"
"Ahatanhel","Natalka Śniadanko","Stanisław Łubieński"
"A hipopotamy żywcem się ugotowały","William S. Burroughs","Justyna Sobolewska"
"A hipopotamy żywcem się ugotowały","William S. Burroughs","John Walsh, „The Independent”"
"A hipopotamy żywcem się ugotowały","William S. Burroughs","Gerald Nicosia, „San Francisco Chronicle”"
"A hipopotamy żywcem się ugotowały","William S. Burroughs","Nick Rennison, „The Sunday Times”"
"A hipopotamy żywcem się ugotowały","Jack Kerouac","Justyna Sobolewska"
"A hipopotamy żywcem się ugotowały","Jack Kerouac","John Walsh, „The Independent”"
"A hipopotamy żywcem się ugotowały","Jack Kerouac","Gerald Nicosia, „San Francisco Chronicle”"
"A hipopotamy żywcem się ugotowały","Jack Kerouac","Nick Rennison, „The Sunday Times”"
"Aimée i Jaguar","Erica Fischer","Der Tagesspiegel"
"Aimée i Jaguar","Erica Fischer","Frankfurter Rundschau"
"Aimée i Jaguar","Erica Fischer","Anna Dziewit Meller"
"Aimée i Jaguar","Erica Fischer","Justyna Sobolewska"
"Aleja Niepodległości","Krzysztof Varga","Andrzej Stasiuk"
"Aleja Słoneczna","Thomas Brussig","Piotr Huniewicz"
"Aleja Słoneczna","Thomas Brussig","Artur Górski, „Czytelnia Polityki”"
"Aleja Włókniarek","Marta Madejska","Paweł Smoleński"
"Allah akbar","Witold Repetowicz","płk Grzegorz Kaliciak"
"Ameksyka","Ed Vulliamy","Tomasz Pindel"
"Ameksyka","Ed Vulliamy","„Kirkus Reviews”"
"Ameksyka","Ed Vulliamy","Wojtek Ząbek, czytelnik"
"Amerykańskie lato","Alex Kotlowitz","Maciej Czarnecki"
"Amerykański fikcjonarz","Dubravka Ugresic","Krzysztof Varga"
"Amerykański fikcjonarz","Dubravka Ugresic","Paweł Marczewski (Res Publica)"
"Amerykański fikcjonarz","Dubravka Ugresic","Artur Górski"
"Aminata - siła miłości","Lawrence Hill","Nancy Kline, „New York Times Book Review”"
"Aminata - siła miłości","Lawrence Hill","„Publishers Weekly”"
"Aminata - siła miłości","Lawrence Hill","„Globe and Mail”"
"Aminata - siła miłości","Lawrence Hill","Delia Jarrett-Macauley, „Washington Post”"
"Aminata - siła miłości","Lawrence Hill","Jennifer Berman, „Bookforum”"
"Aminata - siła miłości","Lawrence Hill","Kim Lundstrom, „Real Change”"
"Aminata - siła miłości","Lawrence Hill","Charles Shea LeMone, „Roanoke Times”"
"Aminata - siła miłości","Lawrence Hill","Eileen Charbonneau, „Historical Novels Review”"
"Amur","Colin Thubron","Adam Robiński"
"Amur","Colin Thubron","„Washington Post”"
"Amur","Colin Thubron","„Wall Street Journal”"
"Amur","Colin Thubron","„The New Yorker”"
"Amur","Colin Thubron","„Publishers Weekly”"
"Amur","Colin Thubron","„Daily Telegraph”"
"Anarchy in the UKR","Serhij Żadan","Krzysztof Varga"
"Anatomia pewnego ludobójstwa","Omer Bartov","prof. Jan Tomasz Gross"
"Anatomia pewnego ludobójstwa","Omer Bartov","Tom Segev"
"Anatomia pewnego ludobójstwa","Omer Bartov","„Wall Street Journal”"
"Anatomia pewnego ludobójstwa","Omer Bartov","Christopher R. Browning"
"Anatomia pewnego ludobójstwa","Omer Bartov","„Los Angeles Times”"
"Anatomia pewnego ludobójstwa","Omer Bartov","Saul Friedländer"
"Anatomia pewnego ludobójstwa","Omer Bartov","„New York Journal of Books”"
"Angole","Ewa Winnicka","Małgorzata Szejnert"
"Antonówki","Sylwia Frołow","Agnieszka Glińska"
"Apartament w hotelu Wojna","Tomáš  Forró","Tomasz Grzywaczewski"
"Argonauci","Maggie Nelson","Renata Lis"
"Argonauci","Maggie Nelson","Hilton Als, „The New Yorker”"
"Argonauci","Maggie Nelson","Olivia Laing, „The Guardian”"
"Argonauci","Maggie Nelson","„The Gay & Lesbian Review”"
"Argonauci","Maggie Nelson","„Chicago Tribune”"
"Argonauci","Maggie Nelson","Michael Lindgren, „The Washington Post”"
"Armenia","Maciej Falkowski","Andrzej Brzeziecki"
"Armenia. Karawany śmierci","Małgorzata Nocuń","Agnieszka Lichnerowicz"
"Armenia. Karawany śmierci","Andrzej Brzeziecki","Agnieszka Lichnerowicz"
"Asy","Angela Chen","Katarzyna Koczułap, @kasia_coztymseksem"
"Asy","Angela Chen","„The Independent”"
"Asy","Angela Chen","„Washington Post”"
"Asy","Angela Chen","„The New York Times”"
"Asy","Angela Chen","„Women’s Review of Books”"
"Autobiografie","Thomas Bernhard","Krzysztof Varga"
"Baba Jaga zniosła jajo","Dubravka Ugresic","Magda Głaz"
"Baba Jaga zniosła jajo","Dubravka Ugresic","Agnieszka Drotkiewicz"
"Baba Jaga zniosła jajo","Dubravka Ugresic","Grzegorz Uzdański"
"Baba Jaga zniosła jajo","Dubravka Ugresic","Marta Mizuro"
"Babel","Aleksander Kaczorowski","Tomasz Stawiszyński"
"Bądź dobra dla zwierząt","Monica Isakstuen","„Aftonbladet”"
"Bądź dobra dla zwierząt","Monica Isakstuen","„Dagsavisen”"
"Bądź dobra dla zwierząt","Monica Isakstuen","„Gøteborgs Posten”"
"Bądź dobra dla zwierząt","Monica Isakstuen","Sissel Gran"
"Bądź dobra dla zwierząt","Monica Isakstuen","„Moss Avis”"
"Bądź dobra dla zwierząt","Monica Isakstuen","vg.no"
"Bagdad","Justin Marozzi","Lech Stefaniak, gen. dyw. w stanie spoczynku, Pełnomocny i Nadzwyczajny Ambasador RP w Iraku w latach 2012–2014"
"Bagdad","Justin Marozzi","Sameer Rahim, ""The Telegraph"""
"Bagdad","Justin Marozzi","Ali A. Allawi, ""The Spectator"""
"Bagdad","Justin Marozzi","Christopher de Bellaigue, ""Guardian"""
"Bagdad","Justin Marozzi","Hugh Kennedy, ""Literary Review"""
"Bagdad","Justin Marozzi","Christopher Hart, ""Sunday Times"""
"Bagno","Tomasz Piątek","Zdzisław Pietrasik"
"Bałkańskie upiory","Robert D. Kaplan","prof. dr hab. Marcin Król"
"Bałkany","Grzegorz Kaliciak","Jagienka Wilczak, „Polityka”"
"Bałkany - terror kultury","Ivan Čolović","Adam Michnik"
"Bałkany - terror kultury","Ivan Čolović","Konstanty Gebert"
"Bałkany wyobrażone","Maria Todorova","prof. Lech Miodyński"
